family,run_id,experiment_id,dataset,model_id,seed,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,lockbox_accuracy,lockbox_macro_f1,lockbox_balanced_accuracy,train_seconds,artifact_dir
Abstract RoBERTa LS,run-6e65714263c8,jasist-csl-abstract-roberta-ls-screen-seed13,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,13,66.75,63.71512148594611,63.54841346808714,69.47916666666667,65.8477343332666,65.41343711206261,2334.1377865410177,outputs/artifacts/run-6e65714263c8
Abstract RoBERTa LS,run-b510c588c001,jasist-csl-abstract-roberta-ls-screen-seed42,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,42,67.08333333333333,64.43942197385952,63.818035102193235,68.4375,64.3280743158917,63.98224886050217,1910.174491792,outputs/artifacts/run-b510c588c001
Abstract RoBERTa LS,run-59db91087ad3,jasist-csl-abstract-roberta-ls-screen-seed3407,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,3407,68.0,65.61729989027907,65.02054842474362,68.95833333333333,65.12637816865714,64.51924238705269,1983.9973155000043,outputs/artifacts/run-59db91087ad3
Abstract RoBERTa AT-BSFGM,run-91832d1d147d,jasist-csl-abstract-autotail-bsaux-fgm-screen-seed13,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,13,68.25,65.92968007552956,65.40031677071657,69.58333333333333,66.28375063558356,65.57573886760473,3376.2815040419955,outputs/artifacts/run-91832d1d147d
Abstract RoBERTa AT-BSFGM,run-795ae42ab0cb,jasist-csl-abstract-autotail-bsaux-fgm-screen-seed42,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,42,68.41666666666667,65.82508552072164,65.05204861192455,68.95833333333333,65.08924180137741,64.6340704362865,3131.3145903339973,outputs/artifacts/run-795ae42ab0cb
Abstract RoBERTa AT-BSFGM,run-a49d721857a8,jasist-csl-abstract-autotail-bsaux-fgm-screen-seed3407,csl_instruction_discipline_abstract,hfl/chinese-roberta-wwm-ext,3407,69.41666666666667,66.84301579736943,66.36342325080452,69.79166666666666,66.18316390208166,65.7347109579516,3361.590273374997,outputs/artifacts/run-a49d721857a8
Abstract MacBERT LS,run-e3305599bce0,jasist-csl-abstract-macbert-ls-screen-seed13,csl_instruction_discipline_abstract,hfl/chinese-macbert-base,13,68.5,65.74166210420894,65.29745652888131,69.375,65.86461047954391,65.25769828860973,2082.1498133330024,outputs/artifacts/run-e3305599bce0
Abstract MacBERT LS,run-76419d93eb10,jasist-csl-abstract-macbert-ls-screen-seed42,csl_instruction_discipline_abstract,hfl/chinese-macbert-base,42,68.08333333333333,65.39391537880273,64.54935164601375,70.0,65.6265478294354,65.19922023773857,2167.2475150000027,outputs/artifacts/run-76419d93eb10
Abstract MacBERT LS,run-ef7de1fd8b1a,jasist-csl-abstract-macbert-ls-screen-seed3407,csl_instruction_discipline_abstract,hfl/chinese-macbert-base,3407,67.0,64.14019132156425,63.93701172209858,68.85416666666667,65.62478433088442,64.59074893929572,1660.0639982079956,outputs/artifacts/run-ef7de1fd8b1a
Abstract MacBERT AT-BSFGM,run-6a5da81eed6e,jasist-csl-abstract-macbert-autotail-bsaux-fgm-screen-seed13,csl_instruction_discipline_abstract,hfl/chinese-macbert-base,13,69.0,66.5658468003462,65.84929628619334,69.58333333333333,65.91152527617314,65.2449250963302,3797.024128083998,outputs/artifacts/run-6a5da81eed6e
